index,mp_id,formula,natoms,energy_pa,n_nodes,n_edges,avg_degree,std_degree,avg_clustering,density
0,mp-1103373,KSn2,12,-0.24488779850000006,12,48,8.0,0.0,0.6607142857142858,0.7272727272727273
1,mp-1106279,BiI3,16,-0.46290994750000003,16,24,3.0,1.7320508075688772,0.0,0.2
2,mp-1224519,K2V6CdCu9O26,44,-1.7150859073522726,44,404,18.363636363636363,2.1541810201950518,0.5480880109820444,0.427061310782241
3,mp-1204424,Na3As(SO2)4,64,-1.3164454594531252,64,406,12.6875,1.3792547806696194,0.40210483960483934,0.2013888888888889
4,mp-1226074,CoNi(SbS)2,12,-0.5358219496874993,12,61,10.166666666666666,0.6871842709362769,0.9196969696969698,0.9242424242424242
5,mp-1217446,Ti2Tl3P5S18,56,-0.9494356131133088,56,266,9.5,1.6366341767699428,0.47244124922696323,0.17272727272727273
6,mp-1227748,BaSr3Lu2(BiO6)2,20,-2.89183652225,20,130,13.0,1.5491933384829668,0.6829792429792427,0.6842105263157895
7,mp-1227542,Ce7Ti4(Se2O)6,29,-2.313949218182472,29,123,8.482758620689655,1.380172144564793,0.5159227745434642,0.30295566502463056
8,mp-1179841,PPb,16,0.1340888245535714,16,48,6.0,0.0,0.4000000000000001,0.4
9,mp-1205334,MgCu2SiS4,16,-1.0402412895312496,16,80,10.0,0.0,0.6666666666666665,0.6666666666666666
10,mp-1213496,KAsOF5,192,-2.3674466379416668,192,1232,12.833333333333334,1.9507833184532708,0.4358450577200574,0.06719022687609075
11,mp-1208479,Tb3Fe2Si3,16,-0.6451307131250008,16,58,7.25,0.4330127018922193,0.6279761904761904,0.48333333333333334
12,mp-1228572,CdFe4Cu10(SnSe4)5,40,-0.2714164387968744,40,128,6.4,2.4166091947189146,0.3039682539682538,0.1641025641025641
13,mp-1180691,KVO4,24,-1.711094437583333,24,108,9.0,0.5773502691896257,0.5558201058201058,0.391304347826087
14,mp-864671,HfAlRh2,4,-1.0210431037499994,4,6,3.0,0.0,1.0,1.0
15,mp-1204317,CeH12N5F4,88,-1.1323718029590901,88,1136,25.818181818181817,2.036850591128007,0.46902220450537246,0.296760710553814
16,mp-1224079,Ho4CrS7,12,-2.153914226536458,12,40,6.666666666666667,0.7453559924999298,0.6422619047619046,0.6060606060606061
17,mp-1203595,ZnH8N2(OF2)2,34,-1.3582959988811756,34,402,23.647058823529413,2.1404006351365004,0.7558819651106633,0.7165775401069518
18,mp-1211679,KCr(MoO4)2,24,-2.219744380666667,24,146,12.166666666666666,1.6244657241348273,0.5356180856180855,0.5289855072463768
19,mp-1228208,Ba4LaTiNb3O15,24,-3.3673783584102175,24,135,11.25,0.82915619758885,0.6368055555555555,0.4891304347826087
20,mp-1214626,Ba2TbCl7,40,-2.8598107688653336,40,194,9.7,1.1874342087037917,0.4441774891774889,0.24871794871794872
21,mp-1077735,LaSn2,6,-0.6670916633333329,6,15,5.0,0.0,1.0,1.0
22,mp-1205600,Ba2NdTaO6,10,-3.510458463500001,10,43,8.6,0.4898979485566356,0.9523809523809523,0.9555555555555556
23,mp-1180118,P2PbO8,22,-1.8646125553896093,22,157,14.272727272727273,1.28564869306645,0.6677118336209245,0.6796536796536796
24,mp-1201527,Cu4Si4Pb4C4ClO28,45,-1.802665235183555,45,374,16.622222222222224,1.179244369904142,0.5290138199529322,0.37777777777777777
25,mp-1192994,Ce3AlVS7,24,-2.0230949102864586,24,138,11.5,1.3228756555322954,0.5252719502719502,0.5
26,mp-1192395,Hg3Bi2(TeCl4)2,30,-1.0390164477386667,30,132,8.8,1.7962924780409972,0.4720057720057718,0.30344827586206896
27,mp-1198291,NpP2H2CO8,56,-1.9409518452875503,56,504,18.0,2.104417123236605,0.47111683097972357,0.32727272727272727
28,mp-1218645,Sr4CeY3Fe2(Cu2O9)2,32,-2.6312751119531246,32,114,7.125,0.8569568250501305,0.6517857142857143,0.22983870967741934
29,mp-1207921,UFe4B,12,-0.13164237277777838,12,60,10.0,1.0,0.9176767676767676,0.9090909090909091
30,mp-1101035,TiNiO3,60,-2.455499004916667,60,466,15.533333333333333,0.590668171555645,0.7013400488400489,0.2632768361581921
31,mp-568203,K2Th(PSe3)3,60,-0.7517774404848221,60,302,10.066666666666666,1.339983416149452,0.43887445887445864,0.17062146892655367
32,mp-1224815,GaCuTe2,4,-0.09053863249999994,4,5,2.5,0.5,0.8333333333333333,0.8333333333333334
33,mp-1214277,Ce6N8O33,47,-1.9068771708572334,47,318,13.53191489361702,1.648352676446516,0.409236341464126,0.29417206290471787
34,mp-1226833,Ce2Zn3Cu7,12,-0.17794182458333316,12,44,7.333333333333333,0.7453559924999298,0.671957671957672,0.6666666666666666
35,mp-1215056,BaMn5(SO4)6,108,-2.287848026458565,108,999,18.5,2.1921577396609844,0.46949606048800624,0.17289719626168223
36,mp-1183601,CaGdRh2,4,-0.5836671475000017,4,6,3.0,0.0,1.0,1.0
37,mp-1223143,La3SmCr4O12,20,-3.1821501573750006,20,138,13.8,1.32664991614216,0.7383999333999338,0.7263157894736842
38,mp-1191245,LuH3,24,-0.7063877881316666,24,240,20.0,0.7071067811865476,0.8569340016708439,0.8695652173913043
39,mp-1228785,Ba12V4O19,35,-2.8285531572499996,35,262,14.971428571428572,1.0277774713488543,0.5175547141933696,0.4403361344537815
40,mp-1187172,SrHN,12,-0.8521090911666663,12,56,9.333333333333334,0.4714045207910317,0.8203703703703703,0.8484848484848485
41,mp-1180674,KZrCu3Se4,9,-0.6425939891527782,9,23,5.111111111111111,0.7370277311900889,0.3301587301587301,0.6388888888888888
42,mp-1181539,Cu(BrN3)2,9,1.7666639450800008,9,36,8.0,0.0,1.0,1.0
43,mp-1202537,Nb8S8O45,61,-2.3792494018998824,61,453,14.852459016393443,1.458002963564535,0.3851339274675821,0.24754098360655738
44,mp-1207432,Zr6Zn23Ge,30,-0.27874403900000005,30,208,13.866666666666667,2.1249836600678966,0.48004805651864474,0.4781609195402299
45,mp-1178448,Cr(NO3)5,63,-0.9386749182849201,63,510,16.19047619047619,1.3669238185149835,0.44440374440374414,0.261136712749616
46,mp-1045465,Y(TiS2)2,14,-1.9539443935119059,14,73,10.428571428571429,0.4948716593053934,0.7307359307359306,0.8021978021978022
47,mp-1219406,Sc3Si3Mo2,16,-0.43826989875000066,16,93,11.625,1.2183492931011204,0.7625825563325563,0.775
48,mp-1220069,NdTh,2,0.038869306249999624,2,1,1.0,0.0,0.0,1.0
49,mp-1048376,CaCoP2O7,44,-2.736268142775974,44,468,21.272727272727273,2.259964162664737,0.5795801465116436,0.49471458773784355
50,mp-1194358,Hf9Re4Ge,28,-0.38102104892857164,28,180,12.857142857142858,1.355261854357877,0.5118334046905476,0.47619047619047616
51,mp-1179213,TeH15C5NOF6,116,-0.9520049771144831,116,1324,22.82758620689655,3.2170769075008554,0.5872407774668299,0.1985007496251874
52,mp-1220375,NbAlV2,4,-0.0343294730357151,4,4,2.0,0.0,0.0,0.6666666666666666
53,mp-1185255,Li3Rh,8,-0.061017742499999805,8,28,7.0,0.0,1.0,1.0
54,mp-1228923,AlCr2,3,0.013648180000000565,3,3,2.0,0.0,1.0,1.0
55,mp-1191037,AgAs(SeF2)3,22,-1.6572115893564772,22,122,11.090909090909092,1.5928559516304757,0.5528360528360529,0.5281385281385281
56,mp-1207899,YTlS2O9,52,-2.1605581111057695,52,418,16.076923076923077,1.5913969896597846,0.43233468722275553,0.3152337858220211
57,mp-1227951,BaLa(CoO3)2,10,-2.1928780467500006,10,45,9.0,0.0,1.0,1.0
58,mp-1196590,Lu11Ge10,42,-0.8089418530952377,42,287,13.666666666666666,2.4559613253766908,0.4251773436647386,0.3333333333333333
59,mp-1205173,Re2P3N2(Cl5O)3,100,-1.3145734472535435,100,417,8.34,1.8067650649710938,0.3949927849927849,0.08424242424242424
60,mp-1207473,ZnC2,12,1.1351324799999993,12,48,8.0,0.0,0.642857142857143,0.7272727272727273
61,mp-1114025,Rb2NaAsBr6,10,-1.1944560530689654,10,36,7.2,0.9797958971132713,0.7485714285714287,0.8
62,mp-1228956,AlAu4,5,-0.1374997180000001,5,5,2.0,0.0,0.0,0.5
63,mp-1179130,TeP2(N2O7)2,21,-1.1932563929193203,21,147,14.0,1.2344267996967353,0.7203875489589774,0.7
64,mp-1045855,CaP4WO12,36,-2.558788632837301,36,288,16.0,1.4337208778404378,0.5315240689918191,0.45714285714285713
65,mp-1178161,HoCuO2,8,-2.7712716368749994,8,16,4.0,0.0,0.5,0.5714285714285714
66,mp-1192919,CuSO9,22,-0.392774472301137,22,134,12.181818181818182,1.0285189544531599,0.7204583295492387,0.5800865800865801
67,mp-1187450,TePb3,4,-0.000300654999999761,4,6,3.0,0.0,1.0,1.0
68,mp-1220851,NaAlSiO4,28,-2.9711751089285707,28,186,13.285714285714286,0.9583148474999098,0.5469340183625897,0.49206349206349204
69,mp-1178063,Li2Cr2(SO4)3,152,-2.201673656365132,152,1392,18.31578947368421,2.103946956979651,0.42813548318681116,0.12129661903102126
70,mp-1179540,ScBr3O7,22,-0.5740594321590904,22,128,11.636363636363637,0.9791208740244551,0.650937950937951,0.5541125541125541
71,mp-1100889,Y3B3O7,26,-2.879920709903847,26,82,6.3076923076923075,0.46153846153846156,0.6190476190476187,0.2523076923076923
72,mp-1222003,MgCdS2,4,-1.2695902582812502,4,6,3.0,0.0,1.0,1.0
73,mp-1176486,Mn2V3Sn(PO4)6,36,-2.594608338049364,36,328,18.22222222222222,3.6675083209108905,0.5648485677300121,0.5206349206349207
74,mp-1204927,BeH10(NF)3,68,-1.3323903076123529,68,994,29.235294117647058,1.5914999127610219,0.5663505058051288,0.4363476733977173
75,mp-1208341,TbAl3(BO3)4,40,-3.2655514932500003,40,470,23.5,1.8027756377319946,0.7127062150494643,0.6025641025641025
