model,MAE,MSE,RMSE,R2
ExtraTrees,0.7099290852807824,0.8291491080985519,0.910576250568041,0.21603175606475755
RandomForest,0.7079772354366566,0.830801798219471,0.9114832956338097,0.21446912208347357
GradientBoosting,0.7272904076291187,0.8334303703238252,0.9129240769767358,0.21198378255095762
HistGradientBoosting,0.7339549492857961,0.8748744601622195,0.9353472404204866,0.17279800762247677
SVR_RBF,0.7527231649543035,0.8830711947931073,0.939718678537948,0.1650479182937713
Lasso,0.7731405267893676,0.9232499935433777,0.960858987335487,0.12705848793436114
ElasticNet,0.7731416657816572,0.9233214157071356,0.9608961524052094,0.12699095760989654
Ridge,0.773150409843212,0.9233950129004733,0.9609344477645045,0.12692137077460242
LinearRegression,0.7733426836872517,0.9235069740578058,0.960992702395708,0.12681551045220008
KNeighbors,0.7650228691372277,0.9494726551648605,0.974408874736299,0.10226471588310004
DecisionTree,0.8933390115430866,1.4517589211664401,1.2048895887866407,-0.3726516508643447
